Level,Expression,Value,Location,Refresh
 1,"[217]",421,0x000AEE16,"1 Hz"
 1,"[218]",422,0x000AEE18,"1 Hz"
 1,"[219]",423,0x000AEE1A,"1 Hz"
 1,"[220]",424,0x000AEE1C,"1 Hz"
 1,"[221]",425,0x000AEE1E,"1 Hz"
 1,"[222]",426,0x000AEE20,"1 Hz"
 1,"[223]",427,0x000AEE22,"1 Hz"
 1,"[224]",428,0x000AEE24,"1 Hz"
 1,"[225]",429,0x000AEE26,"1 Hz"
 1,"[226]",430,0x000AEE28,"1 Hz"
 1,"[227]",431,0x000AEE2A,"1 Hz"
 1,"[228]",432,0x000AEE2C,"1 Hz"
 1,"[229]",433,0x000AEE2E,"1 Hz"
 1,"[230]",434,0x000AEE30,"1 Hz"
 1,"[231]",435,0x000AEE32,"1 Hz"
 1,"[232]",436,0x000AEE34,"1 Hz"
 1,"[233]",437,0x000AEE36,"1 Hz"
 1,"[234]",438,0x000AEE38,"1 Hz"
 1,"[235]",439,0x000AEE3A,"1 Hz"
 1,"[236]",440,0x000AEE3C,"1 Hz"
 1,"[237]",441,0x000AEE3E,"1 Hz"
 1,"[238]",442,0x000AEE40,"1 Hz"
 1,"[239]",443,0x000AEE42,"1 Hz"
 1,"[240]",444,0x000AEE44,"1 Hz"
 1,"[241]",445,0x000AEE46,"1 Hz"
 1,"[242]",446,0x000AEE48,"1 Hz"
 1,"[243]",447,0x000AEE4A,"1 Hz"
 1,"[244]",448,0x000AEE4C,"1 Hz"
 1,"[245]",449,0x000AEE4E,"1 Hz"
 1,"[246]",450,0x000AEE50,"1 Hz"
 1,"[247]",451,0x000AEE52,"1 Hz"
 1,"[248]",452,0x000AEE54,"1 Hz"
 1,"[249]",453,0x000AEE56,"1 Hz"
 1,"[250]",454,0x000AEE58,"1 Hz"
 1,"[251]",455,0x000AEE5A,"1 Hz"
 1,"[252]",456,0x000AEE5C,"1 Hz"
 1,"[253]",457,0x000AEE5E,"1 Hz"
 1,"[254]",458,0x000AEE60,"1 Hz"
 1,"[255]",459,0x000AEE62,"1 Hz"
 1,"[256]",460,0x000AEE64,"1 Hz"
 1,"[257]",461,0x000AEE66,"1 Hz"
 1,"[258]",462,0x000AEE68,"1 Hz"
 1,"[259]",463,0x000AEE6A,"1 Hz"
 1,"[260]",464,0x000AEE6C,"1 Hz"
 1,"[261]",465,0x000AEE6E,"1 Hz"
 1,"[262]",466,0x000AEE70,"1 Hz"
 1,"[263]",467,0x000AEE72,"1 Hz"
 1,"[264]",468,0x000AEE74,"1 Hz"
 1,"[265]",469,0x000AEE76,"1 Hz"
 1,"[266]",470,0x000AEE78,"1 Hz"
 1,"[267]",471,0x000AEE7A,"1 Hz"
 1,"[268]",472,0x000AEE7C,"1 Hz"
 1,"[269]",473,0x000AEE7E,"1 Hz"
 1,"[270]",474,0x000AEE80,"1 Hz"
 1,"[271]",475,0x000AEE82,"1 Hz"
 1,"[272]",476,0x000AEE84,"1 Hz"
 1,"[273]",477,0x000AEE86,"1 Hz"
 1,"[274]",478,0x000AEE88,"1 Hz"
 1,"[275]",479,0x000AEE8A,"1 Hz"
 1,"[276]",480,0x000AEE8C,"1 Hz"
 1,"[277]",481,0x000AEE8E,"1 Hz"
 1,"[278]",482,0x000AEE90,"1 Hz"
 1,"[279]",483,0x000AEE92,"1 Hz"
 1,"[280]",484,0x000AEE94,"1 Hz"
 1,"[281]",485,0x000AEE96,"1 Hz"
 1,"[282]",486,0x000AEE98,"1 Hz"
 1,"[283]",487,0x000AEE9A,"1 Hz"
 1,"[284]",488,0x000AEE9C,"1 Hz"
 1,"[285]",489,0x000AEE9E,"1 Hz"
 1,"[286]",490,0x000AEEA0,"1 Hz"
 1,"[287]",491,0x000AEEA2,"1 Hz"
 1,"[288]",492,0x000AEEA4,"1 Hz"
 1,"[289]",493,0x000AEEA6,"1 Hz"
 1,"[290]",494,0x000AEEA8,"1 Hz"
 1,"[291]",495,0x000AEEAA,"1 Hz"
 1,"[292]",496,0x000AEEAC,"1 Hz"
 1,"[293]",497,0x000AEEAE,"1 Hz"
 1,"[294]",498,0x000AEEB0,"1 Hz"
 1,"[295]",499,0x000AEEB2,"1 Hz"
 1,"[296]",500,0x000AEEB4,"1 Hz"
 1,"[297]",501,0x000AEEB6,"1 Hz"
 1,"[298]",502,0x000AEEB8,"1 Hz"
 1,"[299]",503,0x000AEEBA,"1 Hz"
 1,"[300]",504,0x000AEEBC,"1 Hz"
 1,"[301]",505,0x000AEEBE,"1 Hz"
 1,"[302]",506,0x000AEEC0,"1 Hz"
 1,"[303]",507,0x000AEEC2,"1 Hz"
 1,"[304]",508,0x000AEEC4,"1 Hz"
 1,"[305]",509,0x000AEEC6,"1 Hz"
 1,"[306]",510,0x000AEEC8,"1 Hz"
 1,"[307]",511,0x000AEECA,"1 Hz"
 1,"[308]",512,0x000AEECC,"1 Hz"
 1,"[309]",513,0x000AEECE,"1 Hz"
 1,"[310]",514,0x000AEED0,"1 Hz"
 1,"[311]",515,0x000AEED2,"1 Hz"
 1,"[312]",516,0x000AEED4,"1 Hz"
 1,"[313]",517,0x000AEED6,"1 Hz"
 1,"[314]",518,0x000AEED8,"1 Hz"
 1,"[315]",519,0x000AEEDA,"1 Hz"
 1,"[316]",520,0x000AEEDC,"1 Hz"
 1,"[317]",521,0x000AEEDE,"1 Hz"
 1,"[318]",522,0x000AEEE0,"1 Hz"
 1,"[319]",523,0x000AEEE2,"1 Hz"
 1,"[320]",524,0x000AEEE4,"1 Hz"
 1,"[321]",525,0x000AEEE6,"1 Hz"
 1,"[322]",526,0x000AEEE8,"1 Hz"
 1,"[323]",527,0x000AEEEA,"1 Hz"
 1,"[324]",528,0x000AEEEC,"1 Hz"
 1,"[325]",529,0x000AEEEE,"1 Hz"
 1,"[326]",530,0x000AEEF0,"1 Hz"
 1,"[327]",531,0x000AEEF2,"1 Hz"
 1,"[328]",532,0x000AEEF4,"1 Hz"
 1,"[329]",533,0x000AEEF6,"1 Hz"
 1,"[330]",534,0x000AEEF8,"1 Hz"
 1,"[331]",535,0x000AEEFA,"1 Hz"
 1,"[332]",536,0x000AEEFC,"1 Hz"
 1,"[333]",537,0x000AEEFE,"1 Hz"
 1,"[334]",538,0x000AEF00,"1 Hz"
 1,"[335]",539,0x000AEF02,"1 Hz"
 1,"[336]",540,0x000AEF04,"1 Hz"
 1,"[337]",541,0x000AEF06,"1 Hz"
 1,"[338]",542,0x000AEF08,"1 Hz"
 1,"[339]",543,0x000AEF0A,"1 Hz"
 1,"[340]",544,0x000AEF0C,"1 Hz"
 1,"[341]",545,0x000AEF0E,"1 Hz"
 1,"[342]",546,0x000AEF10,"1 Hz"
 1,"[343]",547,0x000AEF12,"1 Hz"
 1,"[344]",548,0x000AEF14,"1 Hz"
 1,"[345]",549,0x000AEF16,"1 Hz"
 1,"[346]",550,0x000AEF18,"1 Hz"
 1,"[347]",551,0x000AEF1A,"1 Hz"
 1,"[348]",552,0x000AEF1C,"1 Hz"
 1,"[349]",553,0x000AEF1E,"1 Hz"
 1,"[350]",554,0x000AEF20,"1 Hz"
 1,"[351]",555,0x000AEF22,"1 Hz"
 1,"[352]",556,0x000AEF24,"1 Hz"
 1,"[353]",557,0x000AEF26,"1 Hz"
 1,"[354]",558,0x000AEF28,"1 Hz"
 1,"[355]",559,0x000AEF2A,"1 Hz"
 1,"[356]",560,0x000AEF2C,"1 Hz"
 1,"[357]",561,0x000AEF2E,"1 Hz"
 1,"[358]",562,0x000AEF30,"1 Hz"
 1,"[359]",563,0x000AEF32,"1 Hz"
 1,"[360]",564,0x000AEF34,"1 Hz"
 1,"[361]",565,0x000AEF36,"1 Hz"
 1,"[362]",566,0x000AEF38,"1 Hz"
 1,"[363]",567,0x000AEF3A,"1 Hz"
 1,"[364]",568,0x000AEF3C,"1 Hz"
 1,"[365]",569,0x000AEF3E,"1 Hz"
 1,"[366]",570,0x000AEF40,"1 Hz"
 1,"[367]",571,0x000AEF42,"1 Hz"
 1,"[368]",572,0x000AEF44,"1 Hz"
 1,"[369]",573,0x000AEF46,"1 Hz"
 1,"[370]",574,0x000AEF48,"1 Hz"
 1,"[371]",575,0x000AEF4A,"1 Hz"
 1,"[372]",576,0x000AEF4C,"1 Hz"
 1,"[373]",577,0x000AEF4E,"1 Hz"
 1,"[374]",578,0x000AEF50,"1 Hz"
 1,"[375]",579,0x000AEF52,"1 Hz"
 1,"[376]",580,0x000AEF54,"1 Hz"
 1,"[377]",581,0x000AEF56,"1 Hz"
 1,"[378]",582,0x000AEF58,"1 Hz"
 1,"[379]",583,0x000AEF5A,"1 Hz"
 1,"[380]",584,0x000AEF5C,"1 Hz"
 1,"[381]",585,0x000AEF5E,"1 Hz"
 1,"[382]",586,0x000AEF60,"1 Hz"
 1,"[383]",587,0x000AEF62,"1 Hz"
 1,"[384]",588,0x000AEF64,"1 Hz"
 1,"[385]",589,0x000AEF66,"1 Hz"
 1,"[386]",590,0x000AEF68,"1 Hz"
 1,"[387]",591,0x000AEF6A,"1 Hz"
 1,"[388]",592,0x000AEF6C,"1 Hz"
 1,"[389]",593,0x000AEF6E,"1 Hz"
 1,"[390]",594,0x000AEF70,"1 Hz"
 1,"[391]",595,0x000AEF72,"1 Hz"
 1,"[392]",596,0x000AEF74,"1 Hz"
 1,"[393]",597,0x000AEF76,"1 Hz"
 1,"[394]",598,0x000AEF78,"1 Hz"
 1,"[395]",599,0x000AEF7A,"1 Hz"
 1,"[396]",600,0x000AEF7C,"1 Hz"
 1,"[397]",601,0x000AEF7E,"1 Hz"
 1,"[398]",602,0x000AEF80,"1 Hz"
 1,"[399]",603,0x000AEF82,"1 Hz"
 1,"[400]",604,0x000AEF84,"1 Hz"
 1,"[401]",605,0x000AEF86,"1 Hz"
 1,"[402]",606,0x000AEF88,"1 Hz"
 1,"[403]",607,0x000AEF8A,"1 Hz"
 1,"[404]",608,0x000AEF8C,"1 Hz"
 1,"[405]",609,0x000AEF8E,"1 Hz"
 1,"[406]",610,0x000AEF90,"1 Hz"
 1,"[407]",611,0x000AEF92,"1 Hz"
 1,"[408]",612,0x000AEF94,"1 Hz"
 1,"[409]",613,0x000AEF96,"1 Hz"
 1,"[410]",614,0x000AEF98,"1 Hz"
 1,"[411]",615,0x000AEF9A,"1 Hz"
 1,"[412]",616,0x000AEF9C,"1 Hz"
 1,"[413]",617,0x000AEF9E,"1 Hz"
 1,"[414]",618,0x000AEFA0,"1 Hz"
 1,"[415]",619,0x000AEFA2,"1 Hz"
 1,"[416]",620,0x000AEFA4,"1 Hz"
 1,"[417]",621,0x000AEFA6,"1 Hz"
 1,"[418]",622,0x000AEFA8,"1 Hz"
 1,"[419]",623,0x000AEFAA,"1 Hz"
 1,"[420]",624,0x000AEFAC,"1 Hz"
 1,"[421]",625,0x000AEFAE,"1 Hz"
 1,"[422]",626,0x000AEFB0,"1 Hz"
 1,"[423]",627,0x000AEFB2,"1 Hz"
 1,"[424]",628,0x000AEFB4,"1 Hz"
 1,"[425]",629,0x000AEFB6,"1 Hz"
 1,"[426]",630,0x000AEFB8,"1 Hz"
 1,"[427]",631,0x000AEFBA,"1 Hz"
 1,"[428]",632,0x000AEFBC,"1 Hz"
 1,"[429]",633,0x000AEFBE,"1 Hz"
 1,"[430]",634,0x000AEFC0,"1 Hz"
 1,"[431]",635,0x000AEFC2,"1 Hz"
 1,"[432]",636,0x000AEFC4,"1 Hz"
 1,"[433]",637,0x000AEFC6,"1 Hz"
 1,"[434]",638,0x000AEFC8,"1 Hz"
 1,"[435]",639,0x000AEFCA,"1 Hz"
 1,"[436]",640,0x000AEFCC,"1 Hz"
 1,"[437]",641,0x000AEFCE,"1 Hz"
 1,"[438]",642,0x000AEFD0,"1 Hz"
 1,"[439]",643,0x000AEFD2,"1 Hz"
 1,"[440]",644,0x000AEFD4,"1 Hz"
 1,"[441]",645,0x000AEFD6,"1 Hz"
 1,"[442]",646,0x000AEFD8,"1 Hz"
 1,"[443]",647,0x000AEFDA,"1 Hz"
 1,"[444]",648,0x000AEFDC,"1 Hz"
 1,"[445]",649,0x000AEFDE,"1 Hz"
 1,"[446]",650,0x000AEFE0,"1 Hz"
 1,"[447]",651,0x000AEFE2,"1 Hz"
 1,"[448]",652,0x000AEFE4,"1 Hz"
 1,"[449]",653,0x000AEFE6,"1 Hz"
 1,"[450]",654,0x000AEFE8,"1 Hz"
 1,"[451]",655,0x000AEFEA,"1 Hz"
 1,"[452]",656,0x000AEFEC,"1 Hz"
 1,"[453]",657,0x000AEFEE,"1 Hz"
 1,"[454]",658,0x000AEFF0,"1 Hz"
 1,"[455]",659,0x000AEFF2,"1 Hz"
 1,"[456]",660,0x000AEFF4,"1 Hz"
 1,"[457]",661,0x000AEFF6,"1 Hz"
 1,"[458]",662,0x000AEFF8,"1 Hz"
 1,"[459]",663,0x000AEFFA,"1 Hz"
 1,"[460]",664,0x000AEFFC,"1 Hz"
 1,"[461]",665,0x000AEFFE,"1 Hz"
 1,"[462]",666,0x000AF000,"1 Hz"
 1,"[463]",667,0x000AF002,"1 Hz"
 1,"[464]",668,0x000AF004,"1 Hz"
 1,"[465]",669,0x000AF006,"1 Hz"
 1,"[466]",670,0x000AF008,"1 Hz"
 1,"[467]",671,0x000AF00A,"1 Hz"
 1,"[468]",672,0x000AF00C,"1 Hz"
 1,"[469]",673,0x000AF00E,"1 Hz"
 1,"[470]",674,0x000AF010,"1 Hz"
 1,"[471]",675,0x000AF012,"1 Hz"
 1,"[472]",676,0x000AF014,"1 Hz"
 1,"[473]",677,0x000AF016,"1 Hz"
 1,"[474]",678,0x000AF018,"1 Hz"
 1,"[475]",679,0x000AF01A,"1 Hz"
 1,"[476]",680,0x000AF01C,"1 Hz"
 1,"[477]",681,0x000AF01E,"1 Hz"
 1,"[478]",682,0x000AF020,"1 Hz"
 1,"[479]",683,0x000AF022,"1 Hz"
 1,"[480]",684,0x000AF024,"1 Hz"
 1,"[481]",685,0x000AF026,"1 Hz"
 1,"[482]",686,0x000AF028,"1 Hz"
 1,"[483]",687,0x000AF02A,"1 Hz"
 1,"[484]",688,0x000AF02C,"1 Hz"
 1,"[485]",689,0x000AF02E,"1 Hz"
 1,"[486]",690,0x000AF030,"1 Hz"
 1,"[487]",691,0x000AF032,"1 Hz"
 1,"[488]",692,0x000AF034,"1 Hz"
 1,"[489]",693,0x000AF036,"1 Hz"
 1,"[490]",694,0x000AF038,"1 Hz"
